,headline,city,accented_city,latitude,longitude,countrycode,pop
578,Mumps Outbreak in Joplin,Joplin,Joplin,37.08423,-94.51328,US,51818.0
580,Authorities are Worried about the Spread of Mumps in Corona,Corona,Corona,33.87529,-117.56644,US,164226.0
581,Schools in Danville Closed Due to Tuberculosis Outbreak,Danville,Danville,37.82159,-121.99996,US,44400.0
583,Marquette tests new cure for Hepatitis A,Marquette,Marquette,46.54354,-87.39542,US,21297.0
584,Norovirus Vaccine is now Required in Anaheim,Anaheim,Anaheim,33.83529,-117.9145,US,350742.0
585,Zika Outbreak in Manaus,Manaus,Manaus,-3.10194,-60.025,BR,1598210.0
586,Zika spreads to Caucasia,Caucasia,Caucasia,7.98654,-75.19349,CO,58034.0
587,Case of Malaria Reported in Aurora,Aurora,Aurora,39.72943,-104.83192,US,359407.0
588,Manchester Residents Recieve Influenza vaccine,Manchester,Manchester,53.48095,-2.23743,GB,395515.0
589,Zika spreads to Kamphaeng Phet,Kamphaeng Phet,Kamphaeng Phet,16.48344,99.52153,TH,58787.0
590,Rotavirus Vaccine is now Required in Labasa,Labasa,Labasa,-16.4332,179.36451,FJ,27949.0
591,The Spread of Hepatitis E in Fargo has been Confirmed,Fargo,Fargo,46.87719,-96.7898,US,118523.0
592,Zika Outbreak in Mexicali,Mexicali,Mexicali,32.62781,-115.45446,MX,689775.0
593,West Nile Virus Keeps Spreading in Hauppauge,Hauppauge,Hauppauge,40.82565,-73.20261,US,20882.0
594,Bronchitis Keeps Spreading in Hayward,Hayward,Hayward,37.66882,-122.0808,US,158289.0
597,Zika spreads to Plant City,Plant City,Plant City,28.01888,-82.11469,US,37406.0
598,Chlamydia Exposure in Sanaa,Sanaa,Sanaa,15.35472,44.20667,YE,1937451.0
599,Zika Reported in North Miami Beach,North Miami Beach,North Miami Beach,25.93315,-80.16255,US,43971.0
600,More Patients in Kensington are Getting Diagnosed with Varicella,Kensington,Kensington,40.64621,-73.97069,US,39120.0
602,Case of West Nile Virus Reported in Riverside,Riverside,Riverside,33.95335,-117.39616,US,322424.0
603,Northfield Encounters Severe Symptoms of Herpes,Northfield,Northfield,44.4583,-93.1616,US,20380.0
604,The Spread of Respiratory Syncytial Virus in Monroe has been Confirmed,Monroe,Monroe,32.50931,-92.1193,US,49598.0
605,How to Avoid Hepatitis B in Trenton,Trenton,Trenton,40.21705,-74.74294,US,84225.0
606,Zika Reported in Ilopango,Ilopango,Ilopango,13.70167,-89.10944,SV,38890.0
607,Barstow Patient in Critical Condition after Contracting Herpes,Barstow,Barstow,34.89859,-117.02282,US,23692.0
608,Hepatitis D Exposure in Aswan,Aswan,Aswan,24.09082,32.89942,EG,241261.0
609,Will Gonorrhea vaccine help East Moline?,East Moline,East Moline,41.50087,-90.4443,US,21350.0
610,New medicine wipes out Influenza in Redlands,Redlands,Redlands,34.05557,-117.18254,US,71035.0
611,How to Avoid Contaminated Meat when Visiting Basel,Basel,Basel,47.55839,7.57327,CH,164488.0
612,More Zika patients reported in Kampong Speu,Kampong Speu,Kampong Speu,11.45332,104.52085,KH,33231.0
613,Alameda Residents Recieve Rabies vaccine,Alameda,Alameda,37.76521,-122.24164,US,78630.0
614,Mad Cow Disease Detected in Lyon,Lyon,Lyon,45.74846,4.84671,FR,472317.0
615,Memphis Encounters Severe Symptoms of Swine Flu,Memphis,Memphis,35.14953,-90.04898,US,655770.0
616,Zika Troubles come to Delray Beach,Delray Beach,Delray Beach,26.46146,-80.07282,US,66255.0
617,How to Avoid Chikungunya in Hampton,Hampton,Hampton,37.02987,-76.34522,US,136454.0
618,Zika Reported in Sao Jose,Sao Jose,São José,-28.21171,-49.1632,BR,200000.0
619,Case of Norovirus Reported in Stratford,Stratford,Stratford,41.18454,-73.13317,US,51384.0
620,How to Avoid Hepatitis E in South Bend,South Bend,South Bend,41.68338,-86.25001,US,101516.0
621,Hepatitis C Outbreak in Bethlehem,Bethlehem,Bethlehem,-28.23078,28.30707,ZA,83654.0
622,Davenport is infested with Dengue,Davenport,Davenport,41.52364,-90.57764,US,102582.0
623,Rumors about Swine Flu spreading in Suzhou have been refuted,Suzhou,Suzhou,31.30408,120.59538,CN,5345961.0
624,Malaria Vaccine is now Required in Elyria,Elyria,Elyria,41.36838,-82.10765,US,53775.0
626,Case of Swine Flu Reported in Tbilisi,Tbilisi,Tbilisi,41.69411,44.83368,GE,1049498.0
629,Influenza Keeps Spreading in Suffolk,Suffolk,Suffolk,36.72836,-76.58496,US,88161.0
630,More people in Allentown are infected with Chlamydia every year,Allentown,Allentown,40.60843,-75.49018,US,120207.0
631,Mad Cow Disease re-emerges in Bedford,Bedford,Bedford,52.13459,-0.46632,GB,106940.0
632,Authorities are Worried about the Spread of Hepatitis B in Yiwu,Yiwu,Yiwu,29.31506,120.07676,CN,89629.0
633,Zika Outbreak in Yurimaguas,Yurimaguas,Yurimaguas,-5.90181,-76.12234,PE,41827.0
634,Dengue Outbreak in Easton,Easton,Easton,40.68843,-75.22073,US,26915.0
635,Varicella has Arrived in Milton,Milton,Milton,43.51681,-79.88294,CA,101715.0
636,New medicine wipes out Meningitis in Sevilla,Sevilla,Sevilla,37.38283,-5.97317,ES,703206.0
637,Authorities are Worried about the Spread of Varicella in Clovis,Clovis,Clovis,36.82523,-119.70292,US,104180.0
638,More Zika patients reported in Fort Worth,Fort Worth,Fort Worth,32.72541,-97.32085,US,833319.0
639,Zika symptoms spotted in Boynton Beach,Boynton Beach,Boynton Beach,26.52535,-80.06643,US,73966.0
640,Outbreak of Zika in Portoviejo,Portoviejo,Portoviejo,-1.05458,-80.45445,EC,170326.0
641,Influenza Exposure in Muscat,Muscat,Muscat,23.58413,58.40778,OM,797000.0
642,Rumors about Rabies spreading in Jerusalem have been refuted,Jerusalem,Jerusalem,31.76904,35.21633,IL,801000.0
643,More Zika patients reported in Indang,Indang,Indang,14.19528,120.87694,PH,41159.0
644,Suva authorities confirmed the spread of Rotavirus,Suva,Suva,-18.14161,178.44149,FJ,77366.0
645,More Zika patients reported in Bella Vista,Bella Vista,Bella Vista,18.45539,-69.9454,DO,175683.0
646,Zika Outbreak in Wichita Falls,Wichita Falls,Wichita Falls,33.91371,-98.49339,US,104710.0
